case,variant,scenario,mode,repetition,Rprofmem_bytes,retained_vector_delta_bytes,released_vector_delta_bytes,retained_header_delta_cells,released_header_delta_cells,peak_RSS_bytes
short_low-n10000-p128,current,fraction,allocation,1,1781320,,,,,
short_low-n10000-p128,current,fraction,retained,1,,1018368,884488,59639,58166,154058752
short_low-n10000-p128,current,fraction,retained,2,,1018368,884488,59639,58166,154206208
short_low-n10000-p128,current,fraction,retained,3,,1018368,884488,59639,58166,154435584
short_low-n10000-p128,current,known5_fraction,allocation,1,1724688,,,,,
short_low-n10000-p128,current,known5_fraction,retained,1,,1278888,1156200,78215,78044,140705792
short_low-n10000-p128,current,known5_fraction,retained,2,,1278888,1156200,78215,78044,140656640
short_low-n10000-p128,current,known5_fraction,retained,3,,1278888,1156200,78215,78044,140771328
short_low-n10000-p128,current,all,allocation,1,5594520,,,,,
short_low-n10000-p128,current,all,retained,1,,749520,657552,45836,44472,158662656
short_low-n10000-p128,current,all,retained,2,,749520,657552,45836,44472,158646272
short_low-n10000-p128,current,all,retained,3,,749520,657552,45836,44472,158547968
short_low-n10000-p128,current,datasig,allocation,1,486512,,,,,
short_low-n10000-p128,current,datasig,retained,1,,920648,824544,56065,54316,183156736
short_low-n10000-p128,current,datasig,retained,2,,920648,824544,56065,54316,183205888
short_low-n10000-p128,current,datasig,retained,3,,920648,824544,56065,54316,183320576
short_low-n10000-p128,direct,load,allocation,1,452400,,,,,
short_low-n10000-p128,direct,load,retained,1,,598336,509128,38429,37166,152109056
short_low-n10000-p128,direct,load,retained,2,,598336,509128,38429,37166,152174592
short_low-n10000-p128,direct,load,retained,3,,598336,509128,38429,37166,152027136
short_low-n10000-p128,direct,first_value,allocation,1,423792,,,,,
short_low-n10000-p128,direct,first_value,retained,1,,620192,529208,39597,38227,152141824
short_low-n10000-p128,direct,first_value,retained,2,,620192,529208,39597,38227,152141824
short_low-n10000-p128,direct,first_value,retained,3,,620192,529208,39597,38227,152403968
short_low-n10000-p128,direct,fraction,allocation,1,1766416,,,,,
short_low-n10000-p128,direct,fraction,retained,1,,979280,845400,57451,55978,153911296
short_low-n10000-p128,direct,fraction,retained,2,,979280,845400,57451,55978,154140672
short_low-n10000-p128,direct,fraction,retained,3,,979280,845400,57451,55978,154025984
short_low-n10000-p128,direct,known5_fraction,allocation,1,1724688,,,,,
short_low-n10000-p128,direct,known5_fraction,retained,1,,1240712,1118024,76092,75921,140787712
short_low-n10000-p128,direct,known5_fraction,retained,2,,1240712,1118024,76092,75921,140705792
short_low-n10000-p128,direct,known5_fraction,retained,3,,1240712,1118024,76092,75921,140705792
short_low-n10000-p128,direct,all,allocation,1,5579616,,,,,
short_low-n10000-p128,direct,all,retained,1,,640728,548760,39934,38570,158449664
short_low-n10000-p128,direct,all,retained,2,,640728,548760,39934,38570,158564352
short_low-n10000-p128,direct,all,retained,3,,640728,548760,39934,38570,158384128
short_low-n10000-p128,direct,datasig,allocation,1,471608,,,,,
short_low-n10000-p128,direct,datasig,retained,1,,805856,710640,49812,48116,183042048
short_low-n10000-p128,direct,datasig,retained,2,,805856,710640,49812,48116,183173120
short_low-n10000-p128,direct,datasig,retained,3,,805856,710640,49812,48116,182894592
short_high-n10000-p128,direct,load,allocation,1,10609456,,,,,
short_high-n10000-p128,direct,load,retained,1,,10732864,10643656,38429,37166,313147392
short_high-n10000-p128,direct,load,retained,2,,10732864,10643656,38429,37166,311345152
short_high-n10000-p128,direct,load,retained,3,,10732864,10643656,38429,37166,312934400
short_high-n10000-p128,direct,first_value,allocation,1,10580848,,,,,
short_high-n10000-p128,direct,first_value,retained,1,,10754720,10663736,39597,38227,312557568
short_high-n10000-p128,direct,first_value,retained,2,,10754720,10663736,39597,38227,311230464
short_high-n10000-p128,direct,first_value,retained,3,,10754720,10663736,39597,38227,311296000
short_high-n10000-p128,direct,fraction,allocation,1,14085528,,,,,
short_high-n10000-p128,direct,fraction,retained,1,,12380848,11296856,67355,65882,339656704
short_high-n10000-p128,direct,fraction,retained,2,,12380848,11296856,67355,65882,339312640
short_high-n10000-p128,direct,fraction,retained,3,,12380848,11296856,67355,65882,338739200
short_high-n10000-p128,direct,known5_fraction,allocation,1,4442208,,,,,
short_high-n10000-p128,direct,known5_fraction,retained,1,,3061984,1989184,85996,85825,176701440
