case,decoder,variant,scenario,mode,repetition,Rprofmem_bytes,retained_vector_delta_bytes,released_vector_delta_bytes,retained_header_delta_cells,released_header_delta_cells,peak_RSS_bytes
pure-numeric-n1000-p8,baseline,current,load,allocation,1,462816,,,,,
pure-numeric-n1000-p8,baseline,current,load,retained,1,,702896,615512,42739,42695,130236416
pure-numeric-n1000-p8,baseline,current,load,retained,2,,702896,615512,42739,42695,130334720
pure-numeric-n1000-p8,baseline,current,load,retained,3,,702896,615512,42739,42695,130318336
pure-numeric-n1000-p8,baseline,current,first_value,allocation,1,462816,,,,,
pure-numeric-n1000-p8,baseline,current,first_value,retained,1,,739512,652104,44802,44753,130400256
pure-numeric-n1000-p8,baseline,current,first_value,retained,2,,739512,652104,44802,44753,130301952
pure-numeric-n1000-p8,baseline,current,first_value,retained,3,,739512,652104,44802,44753,130383872
pure-numeric-n1000-p8,baseline,current,fraction,allocation,1,829544,,,,,
pure-numeric-n1000-p8,baseline,current,fraction,retained,1,,958664,829696,54736,54681,130547712
pure-numeric-n1000-p8,baseline,current,fraction,retained,2,,958664,829696,54736,54681,130564096
pure-numeric-n1000-p8,baseline,current,fraction,retained,3,,958664,829696,54736,54681,130777088
pure-numeric-n1000-p8,baseline,current,known5_fraction,allocation,1,754488,,,,,
pure-numeric-n1000-p8,baseline,current,known5_fraction,retained,1,,1224984,1104296,74753,74749,133283840
pure-numeric-n1000-p8,baseline,current,known5_fraction,retained,2,,1224984,1104296,74753,74749,131448832
pure-numeric-n1000-p8,baseline,current,known5_fraction,retained,3,,1224984,1104296,74753,74749,131481600
pure-numeric-n1000-p8,baseline,current,all,allocation,1,462816,,,,,
pure-numeric-n1000-p8,baseline,current,all,retained,1,,704552,617104,42784,42738,130187264
pure-numeric-n1000-p8,baseline,current,all,retained,2,,704552,617104,42784,42738,130400256
pure-numeric-n1000-p8,baseline,current,all,retained,3,,704552,617104,42784,42738,130433024
pure-numeric-n1000-p8,baseline,current,datasig,allocation,1,447616,,,,,
pure-numeric-n1000-p8,baseline,current,datasig,retained,1,,914000,826632,54188,54148,131301376
pure-numeric-n1000-p8,baseline,current,datasig,retained,2,,914000,826632,54188,54148,131366912
pure-numeric-n1000-p8,baseline,current,datasig,retained,3,,914000,826632,54188,54148,131153920
numeric-n10000-p128,baseline,current,load,allocation,1,10713448,,,,,
numeric-n10000-p128,baseline,current,load,retained,1,,10931976,597024,44370,42631,149897216
numeric-n10000-p128,baseline,current,load,retained,2,,10931976,597024,44370,42631,152338432
numeric-n10000-p128,baseline,current,load,retained,3,,10931976,597024,44370,42631,150028288
numeric-n10000-p128,baseline,current,first_value,allocation,1,10713448,,,,,
numeric-n10000-p128,baseline,current,first_value,retained,1,,10975976,640952,46878,45130,150011904
numeric-n10000-p128,baseline,current,first_value,retained,2,,10975976,640952,46878,45130,149979136
numeric-n10000-p128,baseline,current,first_value,retained,3,,10975976,640952,46878,45130,149831680
numeric-n10000-p128,baseline,current,fraction,allocation,1,11768208,,,,,
numeric-n10000-p128,baseline,current,fraction,retained,1,,11186816,811744,56359,54617,151240704
numeric-n10000-p128,baseline,current,fraction,retained,2,,11186816,811744,56359,54617,151339008
