case,family,rows,file_columns,loaded_columns,scenario,comparison,left_method,right_method,left_ms,right_ms,right_minus_left_ms,right_minus_left_percent,left_minimum_ms,left_maximum_ms,right_minimum_ms,right_maximum_ms
numeric-n10000-p8,numeric,10000,8,8,fraction,deferred_minus_direct,direct_fraction,deferred_fraction,1.6875,2.489583333333333,0.802083333333333,47.53086419753085,1.640625,2.015625,2.375,2.8958333333333335
numeric-n10000-p8,numeric,10000,8,8,fraction,deferred_minus_current,current_fraction,deferred_fraction,1.890625,2.489583333333333,0.598958333333333,31.680440771349836,1.828125,2.21875,2.375,2.8958333333333335
numeric-n10000-p8,numeric,10000,8,1,known5_fraction,direct_minus_current,current_known5_fraction,direct_known5_fraction,1.8125,1.671875,-0.140625,-7.758620689655171,1.75,2.1875,1.609375,1.921875
numeric-n10000-p8,numeric,10000,8,1,known5_fraction,deferred_minus_direct,direct_known5_fraction,deferred_known5_fraction,1.671875,2.59375,0.921875,55.140186915887845,1.609375,1.921875,2.5416666666666665,2.9999999999999996
numeric-n10000-p8,numeric,10000,8,1,known5_fraction,deferred_minus_current,current_known5_fraction,deferred_known5_fraction,1.8125,2.59375,0.78125,43.10344827586208,1.75,2.1875,2.5416666666666665,2.9999999999999996
numeric-n10000-p8,numeric,10000,8,8,all,direct_minus_current,current_all,direct_all,0.9821428571428572,0.778125,-0.20401785714285725,-20.772727272727288,0.9553571428571429,1.0892857142857142,0.75,0.86875
numeric-n10000-p8,numeric,10000,8,8,all,deferred_minus_direct,direct_all,deferred_all,0.778125,0.8515625,0.07343750000000004,9.437751004016071,0.75,0.86875,0.84375,0.9765625
numeric-n10000-p8,numeric,10000,8,8,all,deferred_minus_current,current_all,deferred_all,0.9821428571428572,0.8515625,-0.1305803571428572,-13.295454545454554,0.9553571428571429,1.0892857142857142,0.84375,0.9765625
numeric-n10000-p8,numeric,10000,8,8,datasig,direct_minus_current,current_datasig,direct_datasig,2.0546875,1.84375,-0.2109375,-10.266159695817489,2.015625,2.25,1.8125,2.0625
numeric-n10000-p8,numeric,10000,8,8,datasig,deferred_minus_direct,direct_datasig,deferred_datasig,1.84375,1.890625,0.046875,2.5423728813559254,1.8125,2.0625,1.84375,2.078125
numeric-n10000-p8,numeric,10000,8,8,datasig,deferred_minus_current,current_datasig,deferred_datasig,2.0546875,1.890625,-0.1640625,-7.984790874524716,2.015625,2.25,1.84375,2.078125
numeric-n10000-p8,numeric,10000,8,8,load,deferred_direct_minus_deferred_current,deferred_current_load,deferred_load,0.634375,0.42578125,-0.20859375000000002,-32.88177339901478,0.625,0.7437499999999999,0.3828125,0.49609375
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,load,direct_minus_current,current_load,direct_load,15.214285714285715,7.7666666666666675,-7.447619047619048,-48.95148669796557,15.0,16.714285714285715,7.533333333333334,8.466666666666667
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,load,deferred_minus_direct,direct_load,deferred_load,7.7666666666666675,7.933333333333332,0.1666666666666643,2.1459227467810926,7.533333333333334,8.466666666666667,7.4,8.733333333333334
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,load,deferred_minus_current,current_load,deferred_load,15.214285714285715,7.933333333333332,-7.2809523809523835,-47.85602503912364,15.0,16.714285714285715,7.4,8.733333333333334
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,fraction,direct_minus_current,current_fraction,direct_fraction,18.916666666666664,11.8,-7.116666666666664,-37.62114537444933,18.333333333333332,21.166666666666668,11.3,12.7
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,fraction,deferred_minus_direct,direct_fraction,deferred_fraction,11.8,14.75,2.9499999999999993,25.0,11.3,12.7,14.0,16.625
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,fraction,deferred_minus_current,current_fraction,deferred_fraction,18.916666666666664,14.75,-4.166666666666664,-22.026431718061666,18.333333333333332,21.166666666666668,14.0,16.625
pure-numeric-n1000-p1024,pure_numeric,1000,1024,52,known5_fraction,direct_minus_current,current_known5_fraction,direct_known5_fraction,4.703125,4.203125,-0.5,-10.6312292358804,4.5,5.125,4.03125,4.59375
pure-numeric-n1000-p1024,pure_numeric,1000,1024,52,known5_fraction,deferred_minus_direct,direct_known5_fraction,deferred_known5_fraction,4.203125,7.266666666666667,3.0635416666666666,72.88723667905823,4.03125,4.59375,6.6,8.066666666666666
pure-numeric-n1000-p1024,pure_numeric,1000,1024,52,known5_fraction,deferred_minus_current,current_known5_fraction,deferred_known5_fraction,4.703125,7.266666666666667,2.5635416666666666,54.50719822812846,4.5,5.125,6.6,8.066666666666666
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,all,direct_minus_current,current_all,direct_all,18.666666666666668,11.2,-7.466666666666669,-40.0,17.499999999999996,20.5,10.499999999999998,11.899999999999999
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,all,deferred_minus_direct,direct_all,deferred_all,11.2,18.785714285714285,7.585714285714285,67.7295918367347,10.499999999999998,11.899999999999999,17.857142857142858,19.714285714285715
