case,variant,phase,observations,median_ms,minimum_ms,maximum_ms
short_high-n10000-p128,current,load,7,17.6640000427142,17.2509999829344,25.3950000042096
short_high-n10000-p128,current,column_handle,7,0.00500003807246685,0.00499997986480594,0.0470000086352229
short_high-n10000-p128,current,first_value_same_handle,7,0.0349999754689634,0.0320000108331442,0.108000007458031
short_high-n10000-p128,current,repeat_value_same_handle,7,0.023000000510364802,0.0219999928958714,0.0250000157393515
short_high-n10000-p128,current,repeat_value_new_extraction,7,0.025999965146184002,0.0250000157393515,0.026000023353844902
short_high-n10000-p128,current,column_summary,7,0.354000017978251,0.349999987520278,0.505000003613532
short_high-n10000-p128,current,repeat_column_summary,7,0.09699998190626499,0.0899999868124723,0.8009999874047941
short_high-n10000-p128,current,fraction_workflow,7,11.4250000333413,11.0209999838844,14.245000027585801
short_high-n10000-p128,current,expanded_fraction_workflow,7,32.4799999943934,31.9700000109151,46.5889999759383
short_high-n10000-p128,current,all_columns_summary,7,45.650999993085904,45.200000051409,143.556999973953
strl_low-n10000-p32,current,empty_control,100,0.0,0.0,0.183999945875257
strl_low-n10000-p32,current,load,7,78.9590000058524,78.8169999723323,86.726000008639
strl_low-n10000-p32,current,column_handle,7,0.00499997986480594,0.00399997225031257,0.0409999629482627
strl_low-n10000-p32,current,first_value_same_handle,7,0.03399996785447,0.0299999956041574,0.0989999971352518
strl_low-n10000-p32,current,repeat_value_same_handle,7,0.023000000510364802,0.0219999928958714,0.0250000157393515
strl_low-n10000-p32,current,repeat_value_new_extraction,7,0.0250000157393515,0.0249999575316906,0.0279999803751707
strl_low-n10000-p32,current,column_summary,7,0.12300000526011001,0.12100004823878399,0.13000000035390302
strl_low-n10000-p32,current,repeat_column_summary,7,0.0949999666772783,0.0899999868124723,0.730999978259206
strl_low-n10000-p32,current,fraction_workflow,7,3.9390000165440098,3.88299999758601,5.79899997683242
strl_low-n10000-p32,current,expanded_fraction_workflow,7,4.52399998903275,4.47200000053272,7.64800002798438
strl_low-n10000-p32,current,all_columns_summary,7,3.9519999991171098,3.87800001772121,4.05400001909584
strl_low-n10000-p32,direct,empty_control,100,0.0,0.0,0.184000004082918
strl_low-n10000-p32,direct,load,7,78.5300000570714,78.1530000385828,85.8860000153072
strl_low-n10000-p32,direct,column_handle,7,0.00500003807246685,0.00400003045797348,0.0379999983124435
strl_low-n10000-p32,direct,first_value_same_handle,7,0.0359999830834568,0.0330000184476376,0.104999984614551
strl_low-n10000-p32,direct,repeat_value_same_handle,7,0.0240000081248581,0.023000000510364802,0.0280000385828316
strl_low-n10000-p32,direct,repeat_value_new_extraction,7,0.026000023353844902,0.0249999575316906,0.0320000108331442
strl_low-n10000-p32,direct,column_summary,7,0.128000043332577,0.121999997645617,0.15899998834356702
strl_low-n10000-p32,direct,repeat_column_summary,7,0.0950000248849392,0.0949999666772783,0.780000002123415
strl_low-n10000-p32,direct,fraction_workflow,7,3.93499998608604,3.91699996544048,6.37499999720603
strl_low-n10000-p32,direct,expanded_fraction_workflow,7,4.50899999123067,4.44599997717887,7.70299998112023
strl_low-n10000-p32,direct,all_columns_summary,7,3.9359999937005297,3.88699996983632,4.08199999947101
strl_high-n10000-p32,direct,empty_control,100,0.0,0.0,0.188999983947724
strl_high-n10000-p32,direct,load,7,179.556999995839,178.618999954779,198.022000025958
strl_high-n10000-p32,direct,column_handle,7,0.00500003807246685,0.00499997986480594,0.0480000162497163
strl_high-n10000-p32,direct,first_value_same_handle,7,0.0400000135414302,0.0379999983124435,0.10399997700005799
strl_high-n10000-p32,direct,repeat_value_same_handle,7,0.0240000081248581,0.023000000510364802,0.0250000157393515
strl_high-n10000-p32,direct,repeat_value_new_extraction,7,0.0269999727606773,0.025999965146184002,0.0280000385828316
strl_high-n10000-p32,direct,column_summary,7,3.44999996013939,3.43400001293048,3.69500002125278
strl_high-n10000-p32,direct,repeat_column_summary,7,0.0939999590627849,0.0899999868124723,0.767999968957156
strl_high-n10000-p32,direct,fraction_workflow,7,8.69200000306591,8.63499997649342,12.7199999988079
strl_high-n10000-p32,direct,expanded_fraction_workflow,7,12.822000018786602,12.737000011839001,18.722999957390098
strl_high-n10000-p32,direct,all_columns_summary,7,106.392999994569,106.276999984402,147.380999987945
strl_high-n10000-p32,current,empty_control,100,0.0,0.0,0.189000042155385
strl_high-n10000-p32,current,load,7,179.266999999527,178.60199999995498,193.961000011768
strl_high-n10000-p32,current,column_handle,7,0.00499997986480594,0.00400003045797348,0.0480000162497163
strl_high-n10000-p32,current,first_value_same_handle,7,0.0349999754689634,0.0320000108331442,0.111000030301511
strl_high-n10000-p32,current,repeat_value_same_handle,7,0.023000000510364802,0.0219999928958714,0.0250000157393515
strl_high-n10000-p32,current,repeat_value_new_extraction,7,0.0250000157393515,0.0250000157393515,0.0270000309683383
strl_high-n10000-p32,current,column_summary,7,3.44800000311807,3.44000000040978,3.6529999924823597
strl_high-n10000-p32,current,repeat_column_summary,7,0.101000012364239,0.0959999742917717,0.781000009737909
strl_high-n10000-p32,current,fraction_workflow,7,8.58499994501472,8.52799997664988,12.274999986402701
strl_high-n10000-p32,current,expanded_fraction_workflow,7,12.7940000384115,12.7280000015162,18.5700000147335
strl_high-n10000-p32,current,all_columns_summary,7,106.764000025578,106.23299999861,143.009999999776
