case,decoder,variant,phase,observations,median_ms,minimum_ms,maximum_ms
numeric-n10000-p128,numeric_snapshot,direct,fraction_workflow,7,2.22999998368323,2.2229999885894403,4.37000003876165
numeric-n10000-p128,numeric_snapshot,direct,expanded_fraction_workflow,7,3.5550000029616102,3.4779999987222303,7.05700000980869
numeric-n10000-p128,numeric_snapshot,direct,all_columns_summary,7,5.77400001930073,5.67899999441579,6.2460000044666195
pure-numeric-n10000-p128,numeric_snapshot,direct,empty_control,100,0.0,0.0,0.203999981749803
pure-numeric-n10000-p128,numeric_snapshot,direct,load,7,1.5479999710805699,1.48799997987226,9.6190000185743
pure-numeric-n10000-p128,numeric_snapshot,direct,column_handle,7,0.00699999509379268,0.00599998747929931,0.0589999835938215
pure-numeric-n10000-p128,numeric_snapshot,direct,first_value_same_handle,7,0.109999964479357,0.10799994925037,0.4029999836348
pure-numeric-n10000-p128,numeric_snapshot,direct,repeat_value_same_handle,7,0.0479999580420554,0.0460000010207295,0.0649999710731208
pure-numeric-n10000-p128,numeric_snapshot,direct,repeat_value_new_extraction,7,0.050000031478703,0.0479999580420554,0.0590000418014824
pure-numeric-n10000-p128,numeric_snapshot,direct,column_summary,7,0.0359999830834568,0.0349999754689634,0.0479999580420554
pure-numeric-n10000-p128,numeric_snapshot,direct,repeat_column_summary,7,0.0349999754689634,0.03399996785447,0.671999994665384
pure-numeric-n10000-p128,numeric_snapshot,direct,fraction_workflow,7,4.31000004755333,4.24099998781458,6.32799998857081
pure-numeric-n10000-p128,numeric_snapshot,direct,expanded_fraction_workflow,7,10.0139999995008,9.79799998458475,14.815000002272399
pure-numeric-n10000-p128,numeric_snapshot,direct,all_columns_summary,7,6.58899999689311,6.3910000026226,6.79800001671538
pure-numeric-n10000-p128,baseline,direct,empty_control,100,0.0,0.0,0.235000043176115
pure-numeric-n10000-p128,baseline,direct,load,7,2.67700001131743,2.53800000064075,11.0770000028424
pure-numeric-n10000-p128,baseline,direct,column_handle,7,0.010000017937272801,0.00800000270828605,0.0559999607503414
pure-numeric-n10000-p128,baseline,direct,first_value_same_handle,7,0.0749999890103936,0.0719999661669135,0.392999965697527
pure-numeric-n10000-p128,baseline,direct,repeat_value_same_handle,7,0.0460000010207295,0.0439999857917428,0.0529999961145222
pure-numeric-n10000-p128,baseline,direct,repeat_value_new_extraction,7,0.0490000238642097,0.0449999934062362,0.0609999988228083
pure-numeric-n10000-p128,baseline,direct,column_summary,7,0.0210000434890389,0.0189999700523913,0.0470000086352229
pure-numeric-n10000-p128,baseline,direct,repeat_column_summary,7,0.017000013031065502,0.0160000054165721,0.811000005342066
pure-numeric-n10000-p128,baseline,direct,fraction_workflow,7,1.88500003423542,1.76100002136081,4.15300001623109
pure-numeric-n10000-p128,baseline,direct,expanded_fraction_workflow,7,2.35999998403713,2.27299996186048,5.73600002098829
pure-numeric-n10000-p128,baseline,direct,all_columns_summary,7,1.79700000444427,1.7390000284649398,1.83199997991323
pure-numeric-n10000-p128,baseline,current,empty_control,100,0.0,0.0,0.193000014405698
pure-numeric-n10000-p128,baseline,current,load,7,3.66300001041964,3.36199998855591,11.6820000112057
pure-numeric-n10000-p128,baseline,current,column_handle,7,0.00799994450062513,0.00599998747929931,0.0519999885000288
pure-numeric-n10000-p128,baseline,current,first_value_same_handle,7,0.0679999939166009,0.0639999634586275,0.338000012561679
pure-numeric-n10000-p128,baseline,current,repeat_value_same_handle,7,0.0449999934062362,0.0419999705627561,0.0540000037290156
pure-numeric-n10000-p128,baseline,current,repeat_value_new_extraction,7,0.0470000086352229,0.0439999857917428,0.0559999607503414
pure-numeric-n10000-p128,baseline,current,column_summary,7,0.0190000282600522,0.0180000206455588,0.0349999754689634
pure-numeric-n10000-p128,baseline,current,repeat_column_summary,7,0.017000013031065502,0.0160000054165721,0.68300002021715
pure-numeric-n10000-p128,baseline,current,fraction_workflow,7,1.82099995436147,1.77600001916289,3.35999997332692
pure-numeric-n10000-p128,baseline,current,expanded_fraction_workflow,7,2.36499996390194,2.31200002599508,5.6029999977909
pure-numeric-n10000-p128,baseline,current,all_columns_summary,7,1.78900000173599,1.75300001865253,1.87599996570498
numeric-n1000-p1024,baseline,current,empty_control,100,0.0,0.0,0.197000044863671
numeric-n1000-p1024,baseline,current,load,7,14.7690000012517,14.598000037949499,23.3209999860264
numeric-n1000-p1024,baseline,current,column_handle,7,0.0089999521151185,0.00599998747929931,0.0540000037290156
numeric-n1000-p1024,baseline,current,first_value_same_handle,7,0.0779999536462128,0.0730000319890678,0.40000001899897997
numeric-n1000-p1024,baseline,current,repeat_value_same_handle,7,0.0559999607503414,0.0480000162497163,0.0599999912083149
numeric-n1000-p1024,baseline,current,repeat_value_new_extraction,7,0.0589999835938215,0.0540000037290156,0.0590000418014824
numeric-n1000-p1024,baseline,current,column_summary,7,0.00900001032277942,0.00699999509379268,0.020999985281378
numeric-n1000-p1024,baseline,current,repeat_column_summary,7,0.00599998747929931,0.00399997225031257,0.672000052873045
numeric-n1000-p1024,baseline,current,fraction_workflow,7,3.64000000990927,3.5550000029616102,5.03699999535456
numeric-n1000-p1024,baseline,current,expanded_fraction_workflow,7,7.878999982494859,7.77800002833828,11.002000013832
numeric-n1000-p1024,baseline,current,all_columns_summary,7,3.08300001779571,3.03299998631701,3.1089999829419
numeric-n1000-p1024,baseline,direct,empty_control,100,0.0,0.0,0.186999968718737
numeric-n1000-p1024,baseline,direct,load,7,8.01600003615022,7.24400003673509,16.6820000158623
numeric-n1000-p1024,baseline,direct,column_handle,7,0.00699999509379268,0.00599998747929931,0.0460000010207295
numeric-n1000-p1024,baseline,direct,first_value_same_handle,7,0.0800000270828605,0.0700000091455877,0.438999966718256
numeric-n1000-p1024,baseline,direct,repeat_value_same_handle,7,0.0510000390931964,0.0449999934062362,0.0560000189580023
numeric-n1000-p1024,baseline,direct,repeat_value_new_extraction,7,0.052000046707689804,0.0449999934062362,0.0560000189580023
numeric-n1000-p1024,baseline,direct,column_summary,7,0.00699999509379268,0.00599998747929931,0.0180000206455588
numeric-n1000-p1024,baseline,direct,repeat_column_summary,7,0.00499997986480594,0.00400003045797348,0.748999998904765
numeric-n1000-p1024,baseline,direct,fraction_workflow,7,3.71099996846169,3.65199998486787,6.7259999923408
numeric-n1000-p1024,baseline,direct,expanded_fraction_workflow,7,7.63000000733882,7.41900003049523,10.597999964375001
numeric-n1000-p1024,baseline,direct,all_columns_summary,7,3.9289999986067397,3.07400000747293,4.11499995971099
numeric-n1000-p1024,numeric_snapshot,direct,empty_control,100,0.0,0.0,0.212999992072582
numeric-n1000-p1024,numeric_snapshot,direct,load,7,6.95900002028793,6.83099997695535,15.7280000275932
