case,family,rows,file_columns,loaded_columns,method,decoder,variant,scenario,threads,n,median_ms,minimum_ms,maximum_ms
pure-numeric-n1000-p1024,pure_numeric,1000,1024,52,direct_known5_fraction,baseline,direct,known5_fraction,0,8,4.203125,4.03125,4.59375
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,direct_load,baseline,direct,load,0,8,7.7666666666666675,7.533333333333334,8.466666666666667
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,private_eager_all,eager_private,direct,all,0,8,10.95,10.4,12.0
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,private_eager_load,eager_private,direct,load,0,8,7.966666666666666,7.466666666666667,8.200000000000001
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,serial_direct_all,baseline,direct,all,1,8,12.625,12.5,13.375
pure-numeric-n1000-p1024,pure_numeric,1000,1024,1024,serial_direct_load,baseline,direct,load,1,8,9.458333333333332,9.0,10.25
pure-numeric-n1000-p128,pure_numeric,1000,128,128,current_all,baseline,current,all,0,8,2.791666666666667,2.6875,2.9999999999999996
pure-numeric-n1000-p128,pure_numeric,1000,128,128,current_datasig,baseline,current,datasig,0,8,11.849999999999998,11.0,12.6
pure-numeric-n1000-p128,pure_numeric,1000,128,128,current_fraction,baseline,current,fraction,0,8,3.546875,3.375,4.0
pure-numeric-n1000-p128,pure_numeric,1000,128,7,current_known5_fraction,baseline,current,known5_fraction,0,8,1.7890625,1.65625,1.953125
pure-numeric-n1000-p128,pure_numeric,1000,128,128,current_load,baseline,current,load,0,8,2.385416666666667,2.3125,2.6041666666666665
pure-numeric-n1000-p128,pure_numeric,1000,128,128,deferred_all,numeric_snapshot,direct,all,0,8,2.479166666666667,2.3958333333333335,2.8333333333333335
pure-numeric-n1000-p128,pure_numeric,1000,128,128,deferred_current_load,numeric_snapshot,current,load,0,8,2.34375,2.2291666666666665,2.5625
pure-numeric-n1000-p128,pure_numeric,1000,128,128,deferred_datasig,numeric_snapshot,direct,datasig,0,8,11.38888888888889,11.000000000000002,12.777777777777779
pure-numeric-n1000-p128,pure_numeric,1000,128,128,deferred_fraction,numeric_snapshot,direct,fraction,0,8,2.875,2.7500000000000004,3.1041666666666665
pure-numeric-n1000-p128,pure_numeric,1000,128,7,deferred_known5_fraction,numeric_snapshot,direct,known5_fraction,0,8,2.0416666666666665,1.9375,2.3958333333333335
pure-numeric-n1000-p128,pure_numeric,1000,128,128,deferred_load,numeric_snapshot,direct,load,0,8,1.1822916666666665,1.15625,1.3229166666666667
pure-numeric-n1000-p128,pure_numeric,1000,128,128,direct_all,baseline,direct,all,0,8,1.8046875,1.703125,2.0
pure-numeric-n1000-p128,pure_numeric,1000,128,128,direct_datasig,baseline,direct,datasig,0,8,10.65,10.0,11.700000000000001
