case,decoder,variant,scenario,Rprofmem_bytes_n,Rprofmem_bytes_median,Rprofmem_bytes_minimum,Rprofmem_bytes_maximum,retained_vector_delta_bytes_n,retained_vector_delta_bytes_median,retained_vector_delta_bytes_minimum,retained_vector_delta_bytes_maximum,released_vector_delta_bytes_n,released_vector_delta_bytes_median,released_vector_delta_bytes_minimum,released_vector_delta_bytes_maximum,retained_header_delta_cells_n,retained_header_delta_cells_median,retained_header_delta_cells_minimum,retained_header_delta_cells_maximum,released_header_delta_cells_n,released_header_delta_cells_median,released_header_delta_cells_minimum,released_header_delta_cells_maximum,peak_RSS_bytes_n,peak_RSS_bytes_median,peak_RSS_bytes_minimum,peak_RSS_bytes_maximum
numeric-n10000-p128,numeric_snapshot,direct,fraction,1,2227008,2227008,2227008,3,928576,928576,928576,3,778544,778544,778544,3,55877,55877,55877,3,52931,52931,52931,3,141852672,141819904,142049280
numeric-n10000-p128,numeric_snapshot,direct,known5_fraction,1,2185280,2185280,2185280,3,1186576,1186576,1186576,3,1065160,1065160,1065160,3,73046,73046,73046,3,72854,72854,72854,3,142999552,142999552,146292736
numeric-n10000-p128,numeric_snapshot,direct,load,1,451816,451816,451816,3,600944,600944,600944,3,493392,493392,493392,3,39943,39943,39943,3,37151,37151,37151,3,139755520,139657216,139853824
pure-numeric-n1000-p1024,baseline,current,all,1,4619712,4619712,4619712,3,4710192,4710192,4710192,3,2886624,2886624,2886624,3,57818,57818,57818,3,45990,45990,45990,3,139739136,139722752,139755520
pure-numeric-n1000-p1024,baseline,current,datasig,1,4877976,4877976,4877976,3,4911512,4911512,4911512,3,3096152,3096152,3096152,3,69222,69222,69222,3,57400,57400,57400,3,144588800,144392192,146440192
pure-numeric-n1000-p1024,baseline,current,first_value,1,4611472,4611472,4611472,3,4737024,4737024,4737024,3,2921624,2921624,2921624,3,59836,59836,59836,3,48005,48005,48005,3,140460032,140115968,141017088
pure-numeric-n1000-p1024,baseline,current,fraction,1,5238672,5238672,5238672,3,5014576,5014576,5014576,3,3100016,3100016,3100016,3,69947,69947,69947,3,57946,57946,57946,3,140148736,140132352,140967936
pure-numeric-n1000-p1024,baseline,current,known5_fraction,1,1401912,1401912,1401912,3,1482096,1482096,1482096,3,1218976,1218976,1218976,3,77705,77705,77705,3,76994,76994,76994,3,136347648,136298496,136511488
pure-numeric-n1000-p1024,baseline,current,load,1,4611472,4611472,4611472,3,4700448,4700448,4700448,3,2885032,2885032,2885032,3,57776,57776,57776,3,45947,45947,45947,3,139608064,139427840,139919360
pure-numeric-n1000-p1024,baseline,direct,all,1,4504312,4504312,4504312,3,4606392,4606392,4606392,3,2782784,2782784,2782784,3,52168,52168,52168,3,40337,40337,40337,3,139083776,138412032,140165120
pure-numeric-n1000-p1024,baseline,direct,datasig,1,4762576,4762576,4762576,3,4801464,4801464,4801464,3,2986992,2986992,2986992,3,63216,63216,63216,3,51447,51447,51447,3,144834560,144572416,145047552
pure-numeric-n1000-p1024,baseline,direct,first_value,1,4496072,4496072,4496072,3,4630640,4630640,4630640,3,2815200,2815200,2815200,3,54022,54022,54022,3,42188,42188,42188,3,138772480,138444800,138887168
pure-numeric-n1000-p1024,baseline,direct,fraction,1,5123272,5123272,5123272,3,4975528,4975528,4975528,3,3060928,3060928,3060928,3,67761,67761,67761,3,55757,55757,55757,3,139411456,139395072,140083200
pure-numeric-n1000-p1024,baseline,direct,known5_fraction,1,1393696,1393696,1393696,3,1443920,1443920,1443920,3,1180800,1180800,1180800,3,75581,75581,75581,3,74870,74870,74870,3,136347648,136232960,137052160
pure-numeric-n1000-p1024,baseline,direct,load,1,4496072,4496072,4496072,3,4589376,4589376,4589376,3,2775696,2775696,2775696,3,51691,51691,51691,3,39961,39961,39961,3,138362880,138248192,138838016
pure-numeric-n1000-p1024,numeric_snapshot,direct,all,1,4503728,4503728,4503728,3,3344144,3344144,3344144,3,543552,543552,543552,3,83475,83475,83475,3,41120,41120,41120,3,140066816,139837440,140902400
pure-numeric-n1000-p1024,numeric_snapshot,direct,datasig,1,11361352,11361352,11361352,3,9230608,9230608,9230608,3,798792,798792,798792,3,77382,77382,77382,3,55577,55577,55577,3,154877952,154664960,155107328
pure-numeric-n1000-p1024,numeric_snapshot,direct,first_value,1,560384,560384,560384,3,934232,934232,934232,3,577008,577008,577008,3,69775,69775,69775,3,42976,42976,42976,3,135708672,135643136,135921664
pure-numeric-n1000-p1024,numeric_snapshot,direct,fraction,1,1563856,1563856,1563856,3,1438488,1438488,1438488,3,852576,852576,852576,3,86660,86660,86660,3,58292,58292,58292,3,137183232,137052160,137183232
pure-numeric-n1000-p1024,numeric_snapshot,direct,known5_fraction,1,1574936,1574936,1574936,3,1419864,1419864,1419864,3,1098288,1098288,1098288,3,79481,79481,79481,3,76597,76597,76597,3,137609216,137592832,137805824
pure-numeric-n1000-p1024,numeric_snapshot,direct,load,1,559336,559336,559336,3,891872,891872,891872,3,536464,536464,536464,3,67433,67433,67433,3,40747,40747,40747,3,135790592,135479296,135806976
pure-numeric-n1000-p8,baseline,current,all,1,462816,462816,462816,3,704552,704552,704552,3,617104,617104,617104,3,42784,42784,42784,3,42738,42738,42738,3,130400256,130187264,130433024
pure-numeric-n1000-p8,baseline,current,datasig,1,447616,447616,447616,3,914000,914000,914000,3,826632,826632,826632,3,54188,54188,54188,3,54148,54148,54148,3,131301376,131153920,131366912
pure-numeric-n1000-p8,baseline,current,first_value,1,462816,462816,462816,3,739512,739512,739512,3,652104,652104,652104,3,44802,44802,44802,3,44753,44753,44753,3,130383872,130301952,130400256
pure-numeric-n1000-p8,baseline,current,fraction,1,829544,829544,829544,3,958664,958664,958664,3,829696,829696,829696,3,54736,54736,54736,3,54681,54681,54681,3,130564096,130547712,130777088
pure-numeric-n1000-p8,baseline,current,known5_fraction,1,754488,754488,754488,3,1224984,1224984,1224984,3,1104296,1104296,1104296,3,74753,74753,74753,3,74749,74749,74749,3,131481600,131448832,133283840
pure-numeric-n1000-p8,baseline,current,load,1,462816,462816,462816,3,702896,702896,702896,3,615512,615512,615512,3,42739,42739,42739,3,42695,42695,42695,3,130318336,130236416,130334720
pure-numeric-n1000-p8,baseline,direct,all,1,462816,462816,462816,3,600712,600712,600712,3,513264,513264,513264,3,37131,37131,37131,3,37085,37085,37085,3,130334720,130301952,130334720
pure-numeric-n1000-p8,baseline,direct,datasig,1,447616,447616,447616,3,803952,803952,803952,3,717472,717472,717472,3,48182,48182,48182,3,48195,48195,48195,3,131137536,131039232,131153920
pure-numeric-n1000-p8,baseline,direct,first_value,1,462816,462816,462816,3,633088,633088,633088,3,545680,545680,545680,3,38985,38985,38985,3,38936,38936,38936,3,130269184,130220032,130351104
pure-numeric-n1000-p8,baseline,direct,fraction,1,829544,829544,829544,3,919576,919576,919576,3,790608,790608,790608,3,52547,52547,52547,3,52492,52492,52492,3,130711552,130564096,131710976
pure-numeric-n1000-p8,baseline,direct,known5_fraction,1,754488,754488,754488,3,1186808,1186808,1186808,3,1066120,1066120,1066120,3,72629,72629,72629,3,72625,72625,72625,3,131350528,131334144,131694592
pure-numeric-n1000-p8,baseline,direct,load,1,462816,462816,462816,3,591824,591824,591824,3,506176,506176,506176,3,36654,36654,36654,3,36709,36709,36709,3,130252800,130187264,130334720
pure-numeric-n1000-p8,numeric_snapshot,direct,all,1,462232,462232,462232,3,595064,595064,595064,3,494784,494784,494784,3,37347,37347,37347,3,37056,37056,37056,3,130859008,130777088,130924544
pure-numeric-n1000-p8,numeric_snapshot,direct,datasig,1,503368,503368,503368,3,861864,861864,861864,3,717504,717504,717504,3,49264,49264,49264,3,49074,49074,49074,3,131661824,131563520,131776512
pure-numeric-n1000-p8,numeric_snapshot,direct,first_value,1,436896,436896,436896,3,609104,609104,609104,3,528240,528240,528240,3,39091,39091,39091,3,38912,38912,38912,3,130891776,130793472,131809280
pure-numeric-n1000-p8,numeric_snapshot,direct,fraction,1,822616,822616,822616,3,926984,926984,926984,3,802928,802928,802928,3,54438,54438,54438,3,54206,54206,54206,3,130940928,130924544,130973696
pure-numeric-n1000-p8,numeric_snapshot,direct,known5_fraction,1,772896,772896,772896,3,1217304,1217304,1217304,3,1094720,1094720,1094720,3,74382,74382,74382,3,74303,74303,74303,3,131727360,131678208,131825664
pure-numeric-n1000-p8,numeric_snapshot,direct,load,1,435848,435848,435848,3,566744,566744,566744,3,487696,487696,487696,3,36749,36749,36749,3,36683,36683,36683,3,130760704,130727936,130924544
pure-numeric-n10000-p128,baseline,current,all,1,5294520,5294520,5294520,3,5515640,5515640,5515640,3,3422944,3422944,3422944,3,44560,44560,44560,3,43122,43122,43122,3,139034624,139018240,139165696
pure-numeric-n10000-p128,baseline,current,datasig,1,5312656,5312656,5312656,3,5724128,5724128,5724128,3,3632472,3632472,3632472,3,55964,55964,55964,3,54532,54532,54532,3,144310272,144293888,144359424
pure-numeric-n10000-p128,baseline,current,first_value,1,5293448,5293448,5293448,3,5549640,5549640,5549640,3,3457944,3457944,3457944,3,46578,46578,46578,3,45137,45137,45137,3,139165696,139116544,139280384
pure-numeric-n10000-p128,baseline,current,fraction,1,6112240,6112240,6112240,3,5847112,5847112,5847112,3,3636336,3636336,3636336,3,56545,56545,56545,3,55078,55078,55078,3,140427264,140345344,140460032
pure-numeric-n10000-p128,baseline,current,known5_fraction,1,1449800,1449800,1449800,3,1523328,1523328,1523328,3,1244536,1244536,1244536,3,75148,75148,75148,3,75058,75058,75058,3,136544256,136429568,136675328
pure-numeric-n10000-p128,baseline,current,load,1,5293448,5293448,5293448,3,5513024,5513024,5513024,3,3421352,3421352,3421352,3,44515,44515,44515,3,43079,43079,43079,3,139165696,139100160,142376960
pure-numeric-n10000-p128,baseline,direct,all,1,5279616,5279616,5279616,3,5411800,5411800,5411800,3,3319104,3319104,3319104,3,38907,38907,38907,3,37469,37469,37469,3,138870784,138805248,138952704
pure-numeric-n10000-p128,baseline,direct,datasig,1,5297752,5297752,5297752,3,5614080,5614080,5614080,3,3523312,3523312,3523312,3,49958,49958,49958,3,48579,48579,48579,3,144146432,143966208,144211968
pure-numeric-n10000-p128,baseline,direct,first_value,1,5278544,5278544,5278544,3,5443216,5443216,5443216,3,3351520,3351520,3351520,3,40761,40761,40761,3,39320,39320,39320,3,139001856,139001856,142147584
pure-numeric-n10000-p128,baseline,direct,fraction,1,6097336,6097336,6097336,3,5808024,5808024,5808024,3,3597248,3597248,3597248,3,54356,54356,54356,3,52889,52889,52889,3,140148736,140115968,140247040
pure-numeric-n10000-p128,baseline,direct,known5_fraction,1,1449800,1449800,1449800,3,1485152,1485152,1485152,3,1206360,1206360,1206360,3,73024,73024,73024,3,72934,72934,72934,3,136347648,136249344,136380416
pure-numeric-n10000-p128,baseline,direct,load,1,5278544,5278544,5278544,3,5401952,5401952,5401952,3,3312016,3312016,3312016,3,38430,38430,38430,3,37093,37093,37093,3,138870784,138788864,138903552
pure-numeric-n10000-p128,numeric_snapshot,direct,all,1,5279032,5279032,5279032,3,3457544,3457544,3457544,3,500544,500544,500544,3,42795,42795,42795,3,37536,37536,37536,3,139313152,139165696,141656064
pure-numeric-n10000-p128,numeric_snapshot,direct,datasig,1,13542112,13542112,13542112,3,11087592,11087592,11087592,3,727104,727104,727104,3,54424,54424,54424,3,49842,49842,49842,3,157089792,157073408,157138944
pure-numeric-n10000-p128,numeric_snapshot,direct,first_value,1,461864,461864,461864,3,656504,656504,656504,3,543000,543000,543000,3,42715,42715,42715,3,39392,39392,39392,3,135905280,135872512,135987200
pure-numeric-n10000-p128,numeric_snapshot,direct,fraction,1,1895768,1895768,1895768,3,1184864,1184864,1184864,3,809568,809568,809568,3,58268,58268,58268,3,54708,54708,54708,3,136413184,136282112,138788864
pure-numeric-n10000-p128,numeric_snapshot,direct,known5_fraction,1,1854040,1854040,1854040,3,1438928,1438928,1438928,3,1096128,1096128,1096128,3,75043,75043,75043,3,74625,74625,74625,3,137510912,137330688,137527296
pure-numeric-n10000-p128,numeric_snapshot,direct,load,1,451816,451816,451816,3,605144,605144,605144,3,493456,493456,493456,3,40373,40373,40373,3,37163,37163,37163,3,135839744,135725056,136396800
