case,variant,phase,observations,captured_observation_bytes_min,captured_observation_bytes_max,retained_observation_bytes_min,retained_observation_bytes_max,captured_observation_capacity_min,captured_observation_capacity_max,retained_observation_capacity_min,retained_observation_capacity_max,handles_created_min,handles_created_max,live_handles_min,live_handles_max,force_attempts_min,force_attempts_max,full_decode_completions_min,full_decode_completions_max,completed_decode_cells_min,completed_decode_cells_max,cache_publications_min,cache_publications_max,reused_handles_min,reused_handles_max,duplicate_handles_min,duplicate_handles_max,dataptr_handles_min,dataptr_handles_max,pointer_materializations_min,pointer_materializations_max,source_columns_with_attempts_min,source_columns_with_attempts_max,max_source_column_completions_min,max_source_column_completions_max
pure-numeric-n1000-p1024,direct,repeat_value_new_extraction,7,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,4096.0,4096.0,4096.0,4096.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,1.0,1.0,1.0,3072.0,3072.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pure-numeric-n1000-p1024,direct,repeat_value_same_handle,7,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,3887000.0,4096.0,4096.0,4096.0,4096.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,1.0,1.0,1.0,3072.0,3072.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pure-numeric-n1000-p8,direct,all_columns_summary,7,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,95.0,95.0,95.0,95.0,9.0,9.0,9.0,9.0,9000.0,9000.0,9.0,9.0,19.0,19.0,87.0,87.0,2.0,2.0,2.0,2.0,8.0,8.0,2.0,2.0
pure-numeric-n1000-p8,direct,column_handle,7,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pure-numeric-n1000-p8,direct,column_summary,7,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,35.0,35.0,35.0,35.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,1.0,2.0,2.0,27.0,27.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pure-numeric-n1000-p8,direct,expanded_fraction_workflow,7,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,71.0,71.0,71.0,71.0,2.0,2.0,2.0,2.0,2000.0,2000.0,2.0,2.0,12.0,12.0,63.0,63.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
pure-numeric-n1000-p8,direct,first_value_same_handle,7,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,32.0,32.0,32.0,32.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,1.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pure-numeric-n1000-p8,direct,fraction_workflow,7,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,51.0,51.0,51.0,51.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,1.0,7.0,7.0,43.0,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pure-numeric-n1000-p8,direct,load,7,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pure-numeric-n1000-p8,direct,repeat_column_summary,7,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,26000.0,38.0,38.0,38.0,38.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1.0,1.0,3.0,3.0,30.0,30.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
