run,case,reader,workload,variant,repetition,load_seconds,elapsed_seconds,workflow_seconds,cpu_seconds,peak_rss_bytes,process_cpu_seconds,native_before,native_after
downstream-v2,100mb-all,arrow,traverse,candidate,6,0.029,0.024,0.053,0.051,418136064,0.313856,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,arrow,traverse,baseline,6,0.029,0.024,0.053,0.051,432979968,0.316399,{},{}
downstream-v2,100mb-all,arrow,first_write,baseline,1,0.03,0.002,0.095,0.002,481525760,0.34475199999999995,{},{}
downstream-v2,100mb-all,arrow,first_write,candidate,1,0.03,0.002,0.073,0.001,461717504,0.33500800000000003,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 927824}"
downstream-v2,100mb-all,arrow,first_write,candidate,2,0.029,0.002,0.073,0.002,458702848,0.331892,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 927824}"
downstream-v2,100mb-all,arrow,first_write,baseline,2,0.028,0.001,0.095,0.002,477478912,0.346203,{},{}
downstream-v2,100mb-all,arrow,first_write,baseline,3,0.03,0.002,0.095,0.002,479412224,0.345076,{},{}
downstream-v2,100mb-all,arrow,first_write,candidate,3,0.03,0.002,0.074,0.001,458293248,0.334634,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 927824}"
downstream-v2,100mb-all,arrow,first_write,candidate,4,0.029,0.002,0.073,0.001,455819264,0.33180299999999996,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 927824}"
downstream-v2,100mb-all,arrow,first_write,baseline,4,0.029,0.002,0.094,0.001,480346112,0.346227,{},{}
downstream-v2,100mb-all,arrow,first_write,baseline,5,0.029,0.001,0.093,0.002,480051200,0.345252,{},{}
downstream-v2,100mb-all,arrow,first_write,candidate,5,0.028,0.002,0.071,0.002,458915840,0.33259799999999995,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 927824}"
downstream-v2,100mb-all,arrow,first_write,candidate,6,0.031,0.002,0.074,0.001,461684736,0.335597,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 927824}"
downstream-v2,100mb-all,arrow,first_write,baseline,6,0.03,0.002,0.095,0.002,473956352,0.347122,{},{}
downstream-v2,100mb-all,arrow,r_vector,baseline,1,0.029,0.004,0.033,0.004,380796928,0.270794,{},{}
downstream-v2,100mb-all,arrow,r_vector,candidate,1,0.03,0.005,0.036,0.006,364789760,0.269068,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,arrow,r_vector,candidate,2,0.03,0.005,0.035,0.005,364855296,0.26758499999999996,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,arrow,r_vector,baseline,2,0.028,0.004,0.032,0.005,380747776,0.27011799999999997,{},{}
downstream-v2,100mb-all,arrow,r_vector,baseline,3,0.03,0.004,0.034,0.004,378486784,0.271163,{},{}
downstream-v2,100mb-all,arrow,r_vector,candidate,3,0.03,0.005,0.036,0.005,362921984,0.26983,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,arrow,r_vector,candidate,4,0.029,0.005,0.035,0.006,365232128,0.26732999999999996,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,arrow,r_vector,baseline,4,0.028,0.004,0.032,0.004,380829696,0.271233,{},{}
downstream-v2,100mb-all,arrow,r_vector,baseline,5,0.03,0.005,0.035,0.004,382402560,0.271393,{},{}
downstream-v2,100mb-all,arrow,r_vector,candidate,5,0.029,0.005,0.035,0.006,364658688,0.26789199999999996,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,arrow,r_vector,candidate,6,0.031,0.005,0.036,0.005,360923136,0.269897,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,arrow,r_vector,baseline,6,0.029,0.004,0.033,0.004,377552896,0.270499,{},{}
downstream-v2,india-all,dta,sparse,baseline,1,0.735,0.015,0.772,0.016,5235785728,5.5841520000000004,{},{}
downstream-v2,india-all,dta,sparse,candidate,1,0.609,0.017,0.649,0.017,5231902720,5.102224,"{""owned"": 0, ""rows"": 724115, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 724115, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}"
downstream-v2,india-all,dta,sparse,candidate,2,0.607,0.017,0.646,0.017,5233360896,5.096567,"{""owned"": 0, ""rows"": 724115, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 724115, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}"
downstream-v2,india-all,dta,sparse,baseline,2,0.737,0.016,0.774,0.015,5236277248,5.592611,{},{}
