run,case,selection_mode,mode,cohort,repetition,position,method,elapsed_seconds,cpu_seconds,peak_rss_bytes,process_cpu_seconds,calls
screen-arrow-copy,mixed-all,all,fresh,1,4,5,candidate-dta,0.017,0.021,108789760,0.177748,
screen-arrow-copy,mixed-all,all,fresh,1,5,1,stata,0.001,,40468480,0.016551999999999997,
screen-arrow-copy,mixed-all,all,fresh,1,5,2,baseline-dta,0.017,0.021,108527616,0.17765299999999998,
screen-arrow-copy,mixed-all,all,fresh,1,5,3,baseline-arrow,0.016,0.022,111050752,0.17740499999999998,
screen-arrow-copy,mixed-all,all,fresh,1,5,4,candidate-dta,0.017,0.021,108773376,0.176708,
screen-arrow-copy,mixed-all,all,fresh,1,5,5,candidate-arrow,0.017,0.02,111099904,0.176885,
screen-arrow-copy,mixed-all,all,fresh,1,6,1,stata,0.001,,40484864,0.016649,
screen-arrow-copy,mixed-all,all,fresh,1,6,2,candidate-arrow,0.016,0.022,111116288,0.17677400000000001,
screen-arrow-copy,mixed-all,all,fresh,1,6,3,candidate-dta,0.018,0.021,108789760,0.177932,
screen-arrow-copy,mixed-all,all,fresh,1,6,4,baseline-arrow,0.016,0.02,111247360,0.177027,
screen-arrow-copy,mixed-all,all,fresh,1,6,5,baseline-dta,0.017,0.021,108691456,0.17768199999999998,
screen-arrow-owned,100mb-all,all,fresh,1,1,1,baseline-dta,0.047,0.143,294273024,0.324507,
screen-arrow-owned,100mb-all,all,fresh,1,1,2,baseline-arrow,0.032,0.101,379650048,0.28406,
screen-arrow-owned,100mb-all,all,fresh,1,1,3,candidate-dta,0.048,0.147,294027264,0.32867399999999997,
screen-arrow-owned,100mb-all,all,fresh,1,1,4,candidate-arrow,0.036,0.098,365412352,0.281205,
screen-arrow-owned,100mb-all,all,fresh,1,1,5,stata,0.011,,144539648,0.026824,
screen-arrow-owned,100mb-all,all,fresh,1,2,1,baseline-arrow,0.03,0.098,379944960,0.28119299999999997,
screen-arrow-owned,100mb-all,all,fresh,1,2,2,candidate-dta,0.047,0.145,295010304,0.327667,
screen-arrow-owned,100mb-all,all,fresh,1,2,3,candidate-arrow,0.036,0.1,362774528,0.28313,
screen-arrow-owned,100mb-all,all,fresh,1,2,4,stata,0.01,,144572416,0.025924999999999997,
screen-arrow-owned,100mb-all,all,fresh,1,2,5,baseline-dta,0.048,0.147,293355520,0.328376,
screen-arrow-owned,100mb-all,all,fresh,1,3,1,candidate-dta,0.048,0.146,297189376,0.327026,
screen-arrow-owned,100mb-all,all,fresh,1,3,2,candidate-arrow,0.04,0.103,360464384,0.28782599999999997,
