run,case,mode,cohort,method,observations,median_seconds,min_seconds,max_seconds,stata_median_seconds,median_peak_rss_bytes,median_cpu_seconds,parity,timer_resolved
screen-dta-wide,mixed-all,fresh,1,baseline-arrow,6,0.016,0.016,0.017,0.001,111132672.0,0.0215,False,
screen-dta-wide,mixed-all,fresh,1,baseline-dta,6,0.017,0.017,0.018,0.001,108625920.0,0.022,False,
screen-dta-wide,mixed-all,fresh,1,candidate-arrow,6,0.0165,0.016,0.017,0.001,111198208.0,0.022,False,
screen-dta-wide,mixed-all,fresh,1,candidate-dta,6,0.0175,0.017,0.018,0.001,108797952.0,0.02,False,
screen-dta-wide,mixed-all,fresh,1,stata,6,0.001,0.0,0.001,0.001,40501248.0,,False,
screen-v2-arrow-bounded,100mb-all,fresh,1,baseline-arrow,6,0.03,0.03,0.032,0.010499999999999999,381214720.0,0.0965,False,True
screen-v2-arrow-bounded,100mb-all,fresh,1,baseline-dta,6,0.048,0.047,0.048,0.010499999999999999,293412864.0,0.146,False,True
screen-v2-arrow-bounded,100mb-all,fresh,1,candidate-arrow,6,0.0305,0.03,0.032,0.010499999999999999,381067264.0,0.098,False,True
screen-v2-arrow-bounded,100mb-all,fresh,1,candidate-dta,6,0.048,0.047,0.049,0.010499999999999999,293093376.0,0.146,False,True
screen-v2-arrow-bounded,100mb-all,fresh,1,stata,6,0.010499999999999999,0.01,0.011,0.010499999999999999,144777216.0,,False,True
screen-v2-arrow-bounded,double-tall-all,fresh,1,baseline-arrow,6,0.006500000000000001,0.006,0.007,0.004,164020224.0,0.022,False,False
screen-v2-arrow-bounded,double-tall-all,fresh,1,baseline-dta,6,0.0075,0.007,0.008,0.004,148176896.0,0.025,False,False
screen-v2-arrow-bounded,double-tall-all,fresh,1,candidate-arrow,6,0.006,0.005,0.006,0.004,139976704.0,0.0185,False,False
screen-v2-arrow-bounded,double-tall-all,fresh,1,candidate-dta,6,0.007,0.007,0.008,0.004,148324352.0,0.023,False,False
screen-v2-arrow-bounded,double-tall-all,fresh,1,stata,6,0.004,0.003,0.004,0.004,77357056.0,,False,False
screen-v2-arrow-bounded,double-wide-all,fresh,1,baseline-arrow,6,0.0305,0.03,0.037,0.001,117817344.0,0.042,False,False
screen-v2-arrow-bounded,double-wide-all,fresh,1,baseline-dta,6,0.033,0.032,0.034,0.001,116785152.0,0.039,False,False
screen-v2-arrow-bounded,double-wide-all,fresh,1,candidate-arrow,6,0.031,0.031,0.032,0.001,109559808.0,0.05,False,False
screen-v2-arrow-bounded,double-wide-all,fresh,1,candidate-dta,6,0.033,0.033,0.033,0.001,117063680.0,0.039,False,False
screen-v2-arrow-bounded,double-wide-all,fresh,1,stata,6,0.001,0.001,0.001,0.001,37617664.0,,False,False
screen-v2-arrow-bounded,india-30-scattered-known,fresh,1,baseline-arrow,6,0.071,0.07,0.072,0.3165,266018816.0,0.093,False,True
screen-v2-arrow-bounded,india-30-scattered-known,fresh,1,baseline-dta,6,0.265,0.263,0.265,0.3165,232169472.0,0.338,False,True
screen-v2-arrow-bounded,india-30-scattered-known,fresh,1,candidate-arrow,6,0.071,0.07,0.072,0.3165,265871360.0,0.094,False,True
screen-v2-arrow-bounded,india-30-scattered-known,fresh,1,candidate-dta,6,0.2645,0.263,0.265,0.3165,232292352.0,0.337,False,True
screen-v2-arrow-bounded,india-30-scattered-known,fresh,1,stata,6,0.3165,0.315,0.319,0.3165,81076224.0,,False,True
screen-v2-arrow-bounded,mixed-all,fresh,1,baseline-arrow,6,0.0165,0.016,0.017,0.001,111099904.0,0.0215,False,False
screen-v2-arrow-bounded,mixed-all,fresh,1,baseline-dta,6,0.0175,0.017,0.018,0.001,108568576.0,0.022,False,False
screen-v2-arrow-bounded,mixed-all,fresh,1,candidate-arrow,6,0.017,0.016,0.017,0.001,111353856.0,0.022,False,False
screen-v2-arrow-bounded,mixed-all,fresh,1,candidate-dta,6,0.017,0.016,0.018,0.001,108716032.0,0.022,False,False
screen-v2-arrow-bounded,mixed-all,fresh,1,stata,6,0.001,0.0,0.001,0.001,40706048.0,,False,False
screen-v2-arrow-owned,100mb-all,fresh,1,baseline-arrow,6,0.0305,0.03,0.032,0.01,380420096.0,0.0985,False,True
screen-v2-arrow-owned,100mb-all,fresh,1,baseline-dta,6,0.0475,0.047,0.048,0.01,293068800.0,0.144,False,True
screen-v2-arrow-owned,100mb-all,fresh,1,candidate-arrow,6,0.031,0.031,0.032,0.01,364470272.0,0.0965,False,True
screen-v2-arrow-owned,100mb-all,fresh,1,candidate-dta,6,0.048,0.047,0.048,0.01,293396480.0,0.1445,False,True
screen-v2-arrow-owned,100mb-all,fresh,1,stata,6,0.01,0.01,0.011,0.01,144793600.0,,False,True
screen-v2-arrow-owned,double-tall-all,fresh,1,baseline-arrow,6,0.006,0.006,0.007,0.004,163889152.0,0.022,False,False
screen-v2-arrow-owned,double-tall-all,fresh,1,baseline-dta,6,0.008,0.007,0.008,0.004,148209664.0,0.023,False,False
screen-v2-arrow-owned,double-tall-all,fresh,1,candidate-arrow,6,0.006500000000000001,0.006,0.007,0.004,164167680.0,0.0225,False,False
screen-v2-arrow-owned,double-tall-all,fresh,1,candidate-dta,6,0.0075,0.007,0.008,0.004,148307968.0,0.024,False,False
screen-v2-arrow-owned,double-tall-all,fresh,1,stata,6,0.004,0.004,0.004,0.004,77365248.0,,False,False
screen-v2-arrow-owned,india-30-scattered-known,fresh,1,baseline-arrow,6,0.072,0.071,0.072,0.317,265445376.0,0.094,False,True
screen-v2-arrow-owned,india-30-scattered-known,fresh,1,baseline-dta,6,0.2645,0.264,0.265,0.317,232177664.0,0.338,False,True
screen-v2-arrow-owned,india-30-scattered-known,fresh,1,candidate-arrow,6,0.072,0.071,0.072,0.317,241532928.0,0.087,False,True
screen-v2-arrow-owned,india-30-scattered-known,fresh,1,candidate-dta,6,0.265,0.264,0.267,0.317,232431616.0,0.338,False,True
screen-v2-arrow-owned,india-30-scattered-known,fresh,1,stata,6,0.317,0.316,0.32,0.317,81059840.0,,False,True
screen-v2-arrow-owned,india-all,fresh,1,baseline-arrow,6,0.574,0.571,0.581,0.4715,10280312832.0,4.5255,False,True
screen-v2-arrow-owned,india-all,fresh,1,baseline-dta,6,0.748,0.744,0.759,0.4715,5236637696.0,5.407,False,True
screen-v2-arrow-owned,india-all,fresh,1,candidate-arrow,6,0.289,0.287,0.291,0.4715,5403344896.0,2.8235,False,True
screen-v2-arrow-owned,india-all,fresh,1,candidate-dta,6,0.751,0.747,0.754,0.4715,5236391936.0,5.420999999999999,False,True
screen-v2-arrow-owned,india-all,fresh,1,stata,6,0.4715,0.47,0.473,0.4715,5256953856.0,,False,True
screen-v2-arrow-owned,mixed-all,fresh,1,baseline-arrow,6,0.0165,0.016,0.017,0.001,111091712.0,0.022,False,False
screen-v2-arrow-owned,mixed-all,fresh,1,baseline-dta,6,0.017,0.017,0.018,0.001,108437504.0,0.021,False,False
screen-v2-arrow-owned,mixed-all,fresh,1,candidate-arrow,6,0.018,0.017,0.018,0.001,108896256.0,0.021,False,False
screen-v2-arrow-owned,mixed-all,fresh,1,candidate-dta,6,0.017,0.017,0.018,0.001,108699648.0,0.0215,False,False
screen-v2-arrow-owned,mixed-all,fresh,1,stata,6,0.001,0.0,0.001,0.001,40665088.0,,False,False
screen-v2-arrow-owned,tall-wide-all,fresh,1,baseline-arrow,6,0.15,0.149,0.152,0.055,1655283712.0,0.718,False,True
screen-v2-arrow-owned,tall-wide-all,fresh,1,baseline-dta,6,0.194,0.193,0.195,0.055,1153400832.0,0.9235,False,True
screen-v2-arrow-owned,tall-wide-all,fresh,1,candidate-arrow,6,0.123,0.123,0.126,0.055,1425006592.0,0.669,False,True
screen-v2-arrow-owned,tall-wide-all,fresh,1,candidate-dta,6,0.194,0.193,0.197,0.055,1156972544.0,0.9295,False,True
screen-v2-arrow-owned,tall-wide-all,fresh,1,stata,6,0.055,0.055,0.056,0.055,668286976.0,,False,True
screen-v2-default,100mb-all,fresh,1,baseline-arrow,6,0.031,0.03,0.031,0.01,378281984.0,0.099,False,True
screen-v2-default,100mb-all,fresh,1,baseline-dta,6,0.0475,0.047,0.048,0.01,293101568.0,0.1455,False,True
screen-v2-default,100mb-all,fresh,1,candidate-arrow,6,0.03,0.03,0.032,0.01,380084224.0,0.097,False,True
screen-v2-default,100mb-all,fresh,1,candidate-dta,6,0.048,0.047,0.049,0.01,293003264.0,0.147,False,True
screen-v2-default,100mb-all,fresh,1,stata,6,0.01,0.01,0.011,0.01,144826368.0,,False,True
screen-v2-default,india-30-scattered-known,fresh,1,baseline-arrow,6,0.071,0.07,0.072,0.317,265011200.0,0.0935,False,True
screen-v2-default,india-30-scattered-known,fresh,1,baseline-dta,6,0.265,0.263,0.265,0.317,232243200.0,0.337,False,True
screen-v2-default,india-30-scattered-known,fresh,1,candidate-arrow,6,0.0715,0.07,0.075,0.317,265920512.0,0.095,False,True
screen-v2-default,india-30-scattered-known,fresh,1,candidate-dta,6,0.2645,0.264,0.268,0.317,232349696.0,0.338,False,True
screen-v2-default,india-30-scattered-known,fresh,1,stata,6,0.317,0.316,0.328,0.317,81010688.0,,False,True
screen-v2-default,india-all,fresh,1,baseline-arrow,6,0.575,0.568,0.586,0.472,10278723584.0,4.5295,False,True
screen-v2-default,india-all,fresh,1,baseline-dta,6,0.747,0.745,0.763,0.472,5236547584.0,5.377,False,True
screen-v2-default,india-all,fresh,1,candidate-arrow,6,0.5734999999999999,0.566,0.594,0.472,10272694272.0,4.489,False,True
screen-v2-default,india-all,fresh,1,candidate-dta,6,0.7464999999999999,0.744,0.774,0.472,5237399552.0,5.3445,False,True
screen-v2-default,india-all,fresh,1,stata,6,0.472,0.469,0.484,0.472,5256953856.0,,False,True
screen-v2-default,mixed-all,fresh,1,baseline-arrow,6,0.016,0.016,0.017,0.001,111149056.0,0.0215,False,False
screen-v2-default,mixed-all,fresh,1,baseline-dta,6,0.017,0.017,0.018,0.001,108552192.0,0.021,False,False
screen-v2-default,mixed-all,fresh,1,candidate-arrow,6,0.016,0.016,0.017,0.001,111288320.0,0.0215,False,False
screen-v2-default,mixed-all,fresh,1,candidate-dta,6,0.017,0.017,0.018,0.001,108822528.0,0.0215,False,False
screen-v2-default,mixed-all,fresh,1,stata,6,0.001,0.0,0.001,0.001,40656896.0,,False,False
screen-v2-dta-prepared,100mb-all,fresh,1,baseline-arrow,6,0.0315,0.031,0.032,0.01,380682240.0,0.1,False,True
screen-v2-dta-prepared,100mb-all,fresh,1,baseline-dta,6,0.048,0.047,0.049,0.01,293265408.0,0.1465,False,True
screen-v2-dta-prepared,100mb-all,fresh,1,candidate-arrow,6,0.0305,0.03,0.032,0.01,380149760.0,0.098,False,True
