run,case,reader,workload,variant,median_elapsed_seconds,min_elapsed_seconds,max_elapsed_seconds,median_load_seconds,min_load_seconds,max_load_seconds,median_workflow_seconds,min_workflow_seconds,max_workflow_seconds,median_cpu_seconds,min_cpu_seconds,max_cpu_seconds,median_peak_rss_bytes,min_peak_rss_bytes,max_peak_rss_bytes
downstream-v3,india-30-scattered-known,dta,sparse,candidate,0.031,0.03,0.031,0.271,0.27,0.276,0.302,0.302,0.307,0.031,0.03,0.031,232308736.0,232177664,232570880
downstream-v3,india-30-scattered-known,dta,traverse,baseline,0.012,0.012,0.013,0.2645,0.263,0.266,0.277,0.275,0.279,0.014,0.014,0.015,249733120.0,249348096,249970688
downstream-v3,india-30-scattered-known,dta,traverse,candidate,0.012,0.012,0.013,0.2705,0.269,0.271,0.283,0.282,0.284,0.015,0.013,0.015,248242176.0,248086528,248905728
downstream-v3,india-30-scattered-known,dta,first_write,baseline,0.0015,0.001,0.002,0.264,0.263,0.265,0.3155,0.314,0.317,0.0015,0.001,0.002,318791680.0,318619648,319193088
downstream-v3,india-30-scattered-known,dta,first_write,candidate,0.0015,0.001,0.002,0.271,0.27,0.272,0.3215,0.321,0.323,0.0015,0.001,0.002,310165504.0,310099968,314703872
downstream-v3,india-30-scattered-known,dta,r_vector,baseline,0.016,0.015,0.016,0.263,0.263,0.264,0.279,0.279,0.28,0.015,0.015,0.016,245407744.0,245301248,248070144
downstream-v3,india-30-scattered-known,dta,r_vector,candidate,0.015,0.014,0.016,0.271,0.27,0.272,0.286,0.285,0.288,0.015,0.014,0.016,236109824.0,235962368,236257280
downstream-v3,india-30-scattered-known,arrow,sparse,baseline,0.0415,0.041,0.042,0.06,0.06,0.061,0.102,0.101,0.103,0.0415,0.041,0.042,265707520.0,264814592,266551296
downstream-v3,india-30-scattered-known,arrow,sparse,candidate,0.0465,0.043,0.048,0.061,0.06,0.062,0.108,0.105,0.11,0.047,0.043,0.048,242425856.0,242352128,242565120
downstream-v3,india-30-scattered-known,arrow,traverse,baseline,0.028,0.027,0.028,0.061,0.06,0.061,0.088,0.088,0.089,0.03,0.03,0.03,280952832.0,279347200,283279360
downstream-v3,india-30-scattered-known,arrow,traverse,candidate,0.028,0.027,0.028,0.061,0.061,0.062,0.089,0.089,0.09,0.0305,0.03,0.032,257802240.0,257572864,258899968
